	Alternate Symbols
C14orf37	
C14orf95	
FREM3	
MID1IP1	FLJ10386,G12-like,MIG12,STRAIT11499,THRSPL
PQLC3	MGC33602
SEPT6	KIAA0128,MGC16619,MGC20339,SEP2,SEPT2
TMED5	CGI-100
TSPYL4	KIAA0721,dJ486I3.2
C10orf102	
WDR85	FLJ90634,RRT2
LYZL6	LYC1,PRO1485,TKAL754
ALG8	MGC2840
FAM41C	
KRTAP21-4P	KAP21A
EFHD2	MGC4342
SMOC1	
SPATA16	NYD-SP12
PDZD5B	
ZNF620	MGC50836
LCN10	
PTCHD1	FLJ30296
KIAA0226L	FLJ21562
STYXL1	MK-STYX
ZC3H12B	MCPIP2
SUSD2	BK65A6.2,FLJ22778
ZNF577	MGC4400
TRIM58	BIA2
C7orf29	
KRT8P11	RP11-13B9.3
AQP4-AS1	FLJ30507
C18orf54	LAS2,MGC33382
MTMR8	FLJ20126
GPR148	PGR6
MRPS25P1	
MYLIP	MIR
OR8G5	
KRTAP10-4	KAP10.4,KRTAP18.4
CCHCR1	HCR
LINC00475	
MDC1	Em:AB023051.5,KIAA0170,NFBD1
TTLL3	DKFZP434B103,HOTTL
NMD3P	
OPN5	dJ402H5.1
ZNF407	FLJ13839,FLJ20307,KIAA1703
TRIT1	FLJ20061,IPT
LCEP4	
HCG2P8	
CXorf27	HIP17,HYPM
FOXP4	FLJ40908
CD160	BY55,NK1,NK28
ATP5J2P3	bA159H20.5
FANCM	FAAP250
LDHAL6B	LDH6B,LDHL
ARID5B	FLJ21150,MRF2
KIAA1704	AD029,LSR7,bA245H20.2
RPL22P2	
TRIM52	RNF102
ANKRD17	FLJ22206,GTAR,KIAA0697,NY-BR-16
DERA	CGI-26,DEOC
LHFPL5	MGC33835,Tmhs,dJ510O8.8
NDFIP1	MGC10924,N4WBP5
ZNF570	FLJ30791
WDR33	FLJ11294,NET14,WDC146
HDDC2	CGI-130,dJ167O5.2
PPM1E	CaMKP-N,KIAA1072,POPX1,PP2CH
MRPS5P4	
AKT1S1	MGC2865,PRAS40
TRAF3IP1	DKFZP434F124,MIP-T3,MIPT3
UBE2NL	
SH2D4B	
GPR155	DEP.7,DEPDC3,FLJ31819,PGR22
ZNF433	FLJ40981
SEPT7P9	bA291L22.2
CAAP1	CAAP,FLJ13657
NSMCE1	NSE1
PSIP1P1	
MASTL	FLJ14813,THC2
UAP1L1	
ARMC2	DKFZp434P0714,bA787I22.1
NHP2P1	bA360G10.4
ZNRF4	RNF204,Ssrzf1,spzn
DET1	FLJ10103
MTHFD2L	MGC72244
L3MBTL3	KIAA1798
DPPA2	CT100,PESCRG1
CTXN1	FLJ25968
SLC39A10	DKFZp564L2123,FLJ90515,KIAA1265
CASKIN2	ANKS5B,FLJ21609,KIAA1139
ANGPTL5	
PXDC1	
VSIG1	MGC44287
TSPY12P	
RPL36AP4	
RBMY2CP	
BMIQ2	
PERP	KCP1,KRTCAP1,PIGPC1,THW,dJ496H19.1
FAM47A	MGC27003
ZC3HAV1	FLB6421,FLJ13288,MGC48898,PARP13,ZC3H2,ZC3HDC2
SLITRK1	KIAA1910
C9orf69	bA83N9.1
PHACTR2	KIAA0680
ADGB	FLJ23121,dJ408K24.1
GADL1	
RPSAP15	LAMRL5
ZNF598	FLJ00086
MYPN	MYOP
OR2T34	
LZTS2	KIAA1813,LAPSER1
IFITM4P	dJ377H14.5
ZNF510	KIAA0972
RAB8B	
RPSAP5	
C22orf24	HSN44A4A
EXOC4	KIAA1699,MGC27170,SEC8,Sec8p
TRAPPC12	CGI-87,TTC-15
MAMDC2	MGC21981
SPA17P1	Sp17-2
G6PC2	IGRP
RUFY1	FLJ22251,RABIP4,ZFYVE12
UTP14C	2700066J21Rik
FAM103A2P	dJ427A4.2
GNL2	HUMAUANTIG,Ngp-1
KIAA1984	MGC15438,bA216L13.7
TXNL4B	DLP,Dim2,FLJ20511
TAC4	HK-1,PPT-C,Pptc
HSN2	
KRTAP5-13P	KRTAP5.P1
DIRC3	FLJ14199
SH3RF2	FLJ23654,Hepp1,POSHER,RNF158
FAM104B	FLJ20434
YWHAZP2	
GAPDHP73	
SLC35F2	FLJ13018
DIABLO	DFNA64,DIABLO-S,FLJ10537,FLJ25049,SMAC
ZDHHC15	FLJ31812,MRX91
ENPP6	MGC33971
LCEP1	
ARRDC2	CLONE24945,PP2703
HDHD1P2	
VPS39	KIAA0770,VAM6
RNF168	FLJ35794
BTNL9	FLJ32535
RSAD1	FLJ11164
OLIG3	Bhlhb7,bHLHe20
RPS24P3	
CLMN	FLJ12383,KIAA0500,KIAA1188
ZNF292	KIAA0530,ZFP292,Zn-15,Zn-16,bA393I2.3
FOXJ3	KIAA1041
DNM1DN7@	
ARHGAP16P	
OR2T27	
HOOK1	HK1
PAQR4	FLJ30002
OR5K4	
UPF2	DKFZP434D222,KIAA1408,RENT2,smg-3
ZNF608	DKFZp434M098,KIAA1281,NY-REN-36
OFD1P15Y	
GCNT6	bA421M1.3
C6orf164	dJ102H19.4
GEMIN5	
RNF139	HRCA1,RCA1,TRC8
KCTD3	NY-REN-45
TDRD6	CT41.2,NY-CO-45,SPATA36,bA446F17.4
LRRC30	
PIAS4	FLJ12419,PIASY,Piasg,ZMIZ6
KLHL14	KIAA1384
CDY19P	
MFN1	FLJ20693
OR6C5P	
FBXO41	Fbx41,KIAA1940
OR4C50P	
SCFD1	KIAA0917,RA410,SLY1,STXBP1L2
SCML4	dJ47M23.1
ARHGAP26	GRAF,KIAA0621,OPHN1L,OPHN1L1
NRBF2	COPR1,COPR2,DKFZp564C1664,FLJ30395
RBMY1J	
MAML2	KIAA1819,MAM3
C6orf62	DKFZP564G182,FLJ12619,XTP12
SUGT1P1	MGC15151,SGT1P,bA255A11.1
ZNF586	FLJ20070
SNED1	FLJ00133,SST3,Snep
OR5BT1P	
FYTTD1	DKFZp761B1514,UIF
USP9YP2	
SLC35G2	DKFZp564K2464,MGC3295
MRP63P10	
CTAGE4	FLJ43692,cTAGE-4
DYNAP	FLJ39106
ELTD1	ETL
RABGEF1	RABEX5,rabex-5
LCE3B	LEP14
CCDC9	DKFZP586M1019
NMRK1	FLJ20559,NRK1,bA235O14.2
YIPF3	DKFZp566C243,FinGER3,KLIP1,dJ337H4.3
KRTAP5-9	KRTAP5-1,KRTAP5.9
ASIC5	HINAC,INAC
MAST1	KIAA0973,SAST
FRMD4A	FLJ10210,KIAA1294,bA295P9.4
TBC1D15	DKFZp761D0223,FLJ12085
UBE2R2	CDC34B,FLJ20419,MGC10481,UBC3B
MYOCD	MYCD
WWP2	AIP2
C5orf17	FLJ34836
SENP1	
GLT8D1	AD-017,FLJ14611
MIEN1	C35,MGC14832,ORB3,Rdx12,XTP4
CTGLF5	
NIPSNAP3B	FLJ11275
TTC7B	
RUSC1	NESCA
SOCS2P1	
C14orf51	
SLC35A5	FLJ20730
DMGDH	
PBEF2	
ZNHIT1	CG1I,H_DJ0747G18.14
F8A3	
IRF2BP2	IRF-2BP2
ZFPM2	FOG2,ZC2HC11B,ZNF89B,hFOG-2
MCOLN3	FLJ11006,TRP-ML3,TRPML3
MFSD1	FLJ14153,UG0581B09
DNAJC13	KIAA0678,RME8
ABHD17A	MGC5244
PTK9P1	
FRMPD2	MGC35285
USP48	FLJ11328,FLJ20103,FLJ23054,FLJ23277,MGC14879
FAM46D	CT1.26,CT112,MGC26999
EIF2AK4	GCN2,KIAA1338
PHOSPHO2	MGC22679
PHF11	BCAP,IGER,NY-REN-34
TRIM67	TNL
CCDC22	JM1
TAF1L	
MRP63P1	
C9orf56	
PSMA3P	
PUSL1	FLJ90811
ANKHD1	FLJ10042,FLJ11979,FLJ14127,FLJ20288,KIAA1085
ANKRD29	FLJ25053
KRTAP13-5P	KAP13A
PHPT1	CGI-202,DKFZp564M173,HSPC141,PHP14,bA216L13.10
OR5H14	
MRPL48P1	MRPL48L1,dJ290I10.4
MANSC1	FLJ10298,LOH12CR3
GLIS1	FLJ36155
SLC2A3P2	
ATAT1	Em:AB023049.7,FLJ13158,MEC17
GSTK1	GST13
FBXO18	FBH1,FLJ14590,Fbx18
C3orf17	DKFZP434F2021,NET17
ZBED4	KIAA0637
SLC25A51P2	
PLEKHD1	UPF0639
SLC39A13	FLJ25785
WDR53	MGC12928,MGC64882
DDX50	GU2,GUB,MGC3199,RH-II/GuB
GPR171	H963
SLCO5A1	OATP-J,OATP5A1,OATPRP4
CASC3	BTZ,MLN51
ADAM21P1	
TMED8	
RBMY2KP	
CCDC102B	FLJ23594,HsT1731
ATP5L2	dJ222E13.5
CHD7	FLJ20357,FLJ20361,KIAA1416
RSBN1L	FLJ42526,FLJ45813,MGC71764
PDZD5A	
OR2T11	OR2T11Q
EMR4P	PGR16
LMBRD1	FLJ11240,bA810I22.1,cblF
SERTAD2	KIAA0127,Sei-2,TRIP-Br2
TLE6	FLJ14009,GRG6
OR10AF1P	
ZMYM1	FLJ23151,MYM
RNASE12	
NUP37	FLJ22618,MGC5585
HERC4	DKFZP564G092,KIAA1593
C6orf50	
ZNF563	FLJ34797
USP36	FLJ12851,KIAA1453
ZNF462	DKFZP762N2316,KIAA1803,Zfp462
C18orf57	
DIS3L2P1	
OR11N1P	
TRIM51	TRIM51A
ZNF556	FLJ11637
CD109	CPAMD7,DKFZp762L1111,FLJ38569
LHX6	LHX6.1
TM7SF3	
LINC00595	
DFNB48	
SORCS3	KIAA1059,SORCS
FBXL18	FLJ11467,Fbl18
TUBB4A	beta-5
TMC6	EVIN1,LAK-4P
PEBP1P1	
WDR49	FLJ33620
NANOGP4	NANOGP2
S100A7P1	s100a7d
GJB7	CX25,bA136M9.1
CDY23P	
GFM2	EFG2,FLJ21661
FAM44C	
ANAPC13	APC13,DKFZP566D193,SWM1
NFAM1	CNAIP
SLC5A9	SGLT4
AQP11	
PAPD5	TRF4-2
ALS2CL	DKFZp686I0110,FLJ36525,RN49018
BANF1P2	bA122K13.8
SLCO6A1	CT48,MGC26949,OATP6A1,OATPY
ZBTB2	KIAA1483,ZNF437,bA351K16.2
PLEKHA5	FLJ10667,KIAA1686,PEPP2
RNF39	HZFw1,LIRF
MT1P1	bA435O5.3
ZCCHC4	FLJ23024,HSPC052
ZBTB3	FLJ23392
C18orf15	FLJ31338,HsT3231
TMEM30C	CDC50C
KRTAP10-5	KAP10.5,KAP18.5
HCG9P5	HCGIX-5,dJ377H14.6
C14orf39	SIX6OS1
OR1X5P	
PRR3	CAT56,Em:AB014077.1,Em:AB023052.2
ZNF576	MGC2508
PYCARD	ASC,CARD5,TMS-1
HCG2P4	
KLHL41	Krp1,SARCOSIN
PKHD1L1	
RNF125	FLJ20456
NOMO3	
C9orf24	CBE1,MGC32921,MGC33614,NYD-SP22,SMRP1,bA573M23.4
LDHAL6A	LDH6A,MGC23940
TCEAL5	
ANGPTL6	AGF,ARP5
FAM43A	FLJ90022
TAX1BP3	TIP-1
DNMBP	ARHGEF36,KIAA1010
FOXR2	FOXN6,MGC21658
C10orf113	bA165O3.1
SLC29A3	ENT3,FLJ11160
ASB18	
RPL13AP2	
PLAC8	C15,onzin
HS6ST2	
MCHR2	MCH2,MCH2R,SLT
RAB11FIP3	KIAA0665,Rab11-FIP3,eferin
GALNT18	GALNT15,GalNAc-T18,MGC71806
SLC13A5	NACT
AZI2	AZ2,FLJ21939,NAP1
MIS12	KNTC2AP,MGC2488,MTW1,hMIS12
SEMA6D	FLJ11598,KIAA1479
MTCH2	SLC25A50
AGGF1	FLJ10283,GPATC7,GPATCH7,HSU84971,VG5Q
ZFHX2	KIAA1056,KIAA1762,ZFH-5
KIF18A	DKFZP434G2226
NANOGP7	NANOGP3
RASSF4	AD037,MGC44914
NPSR1	GPRA,PGR14
HCFC1R1	FLJ20568,HPIP
KIAA0513	
C1QL1	C1QRF,C1QTNF14,CRF
FBXO42	Fbx42,KIAA1332
RBKS	DKFZp686G13268,RBSK
ZADH2	MGC45594
SF3B5	MGC3133,SF3b10,Ysf3
RPL26P4	
ACTN1-AS1	
DPPA3	Stella
ABI3	NESH,SSH3BP3
WDR34	DIC5,MGC20486,bA216B9.3
CTXN2	
CDY16P	
C7orf26	MGC2718
MAGEB6P1	
HCG13P	dJ193B12.5
LMTK3	KIAA1883,LMR3,TYKLM3
GRID2IP	
HCP5	D6S2650E,P5-1
DIRAS1	Di-Ras1,GBTS1
SERAC1	FLJ14917
KATNAL1	MGC2599
SH3TC2	CMT4C,KIAA1985
DENND1B	FLJ20054,MGC27044
DZIP1L	DZIP2,FLJ32844
TMCC1	KIAA0779
DM1	
AK4P3	AK3L2P
HDHD2	DKFZP564D1378
ATP13A5	FLJ16025
PAQR3	
RNF138	NARF,STRIN
TRMT5	TRM5
MAGEB10	FLJ32965
GNL3	C77032,E2IG3,MGC800,NS,nucleostemin
GABRR3	
LEMD2	NET25,dJ482C21.1
RPL10AP2	
RFWD2	COP1,FLJ10416,RNF200
PRKRIP1	C114,FLJ13902,KRBOX3
RPS7P1	
UPK3B	FLJ32198,MGC10902,UPIIIb,p35
VEPH1	FLJ12604,KIAA1692
PIGV	FLJ20477
ZNF609	KIAA0295
NMNAT3	PNAT3
GAPDHP16	
SLC25A25	KIAA1896,MCSC,PCSCL
KLHL12	C3IP1
COPS2	CSN2,TRIP15
HCG4P2	HCGIV-02
ZDHHC22	
LACTB2	CGI-83
IL31RA	CRL,CRL3,GLM-R,Glmr,IL-31RA
C6orf123	HGC6.2,dJ431P23.4
IFNL3	IL-28B,IL28B,IL28C
OR4A47	
RABEP2	FLJ23282,FRA
MCDR3	
AGPAT5	FLJ11210,LPAAT-e,LPAAT-epsilon
ODF3	CT135,SHIPPO1,hSHIPPO
DHRS3	RDH17,Rsdr1,SDR1,SDR16C1,retSDR1
ROPN1	CT91,ODF6,ROPN1A,ropporin
PRSS23	SIG13,SPUVE
GEMIN6	FLJ23459
RPS2P4	
LRRC26	OTTHUMG00000020980,bA350O14.10
C14orf159	FLJ39975
KIAA1683	
TMEM241	FLJ44259,MGC11386
SEC22C	MGC13261,MGC5373
SLC35F5	FLJ22004
NSUN4	MGC22960,SHTAP
PARP12	FLJ22693,PARP-12,ZC3H1
BMP10	
RPS2P3	
TUBAL3	FLJ21665
BNC2	BSN2,FLJ20043
C9orf66	FLJ31158
MICU3	DKFZp313A0139
LINC00515	PRED21
SBDSP1	
BDNF-AS	BDNF-AS1,BT2A,BT2B,BT2C,BT2D,NCRNA00049
NDFIP2	KIAA1165,N4wbp5a
C14orf166	CGI-99,CLE,CLE7,LCRP369,RLLM1
OFD1P14Y	
RPSAP4	
C6orf42	
PPARGC1B	PERC,PGC1B
LAPTM5	
TDRD5	FLJ34823,TUDOR3
TSPYL6	
CA5BP1	PRO2325
MTA3	KIAA1266
EFTUD1P1	HsT19321
FAM219B	FLJ00005
ANKRD20A1	DKFZp434A171
MRGPRG	mrgG
PTCD2P1	
SCFD2	FLJ39514,STXBP1L1
SPCS2P1	
RNF167	DKFZP566H073
CBWD4P	
THEG	CT56,THEG1
MAML3	CAGH3,GDN,KIAA1816,MAM2
DCHS2	CDHJ,CDHR7,FLJ20047,PCDHJ
TUBB3	beta-4
KRTAP20-1	KAP20.1
NSUN2	FLJ20303,Misu,TRM4
KAZALD1	FKSG28,FKSG40
HLA-V	dJ377H14.4
TSPAN12	NET-2
MAST2	KIAA0807,MAST205
FAM120A	DNAPTP1,KIAA0183,OSSA
IQGAP3	
STXBP5	LLGL3,tomosyn
MAGEC2	CT10,MAGE-C2
FAT4	CDHF14,CDHR11,FAT-J
PP1P	
KRT18P6	
PHF12	KIAA1523,PF1
NIPSNAP3A	DKFZp564D177,FLJ13953,HSPC299,MGC14553
UBE2D4	HBUCE1
USP49	MGC20741
TRIM66	KIAA0298,TIF1D
MARVELD2	FLJ30532,TRIC
KRTAP5-8	KRTAP5-2,KRTAP5.8,UHSKerB
ANKRD22	MGC22805
GPR115	FLJ38076,PGR18
SHKBP1	PP203,Sb1
CDY15P	
DNM3	KIAA0820
OR6C7P	
SMARCAD1	DKFZP762K2015,ETL1,KIAA1122
GADD45GIP1	CKBBP2,CRIF1,MGC4667,MGC4758,PLINP-1,PRG6,Plinp1
OR7E154P	
API5P1	
SPDYA	Ringo3,SPY1
FARS2	dJ236A3.1
ESAM	W117m
JAGN1	FLJ14602,GL009
TXNL3	
PNLIPRP3	
C6orf118	MGC23884,bA85G2.1
SLC24A6	FLJ22233,NCKX6,NCLX
PRAF2	JM4
PLEKHA3P1	PLEKHA3P
PPP1R36	
HIST1H2BK	H2BFAiii
C9orf57	
CXorf38	MGC39350
SENP2	AXAM2,DKFZp762A2316,KIAA1331,SMT3IP2
NUDT16	FLJ31265
FAM46C	FLJ20202
C10orf68	FLJ13031
CDC26P1	TCAG_1970866
USP33	KIAA1097,VDU1
SNRPD2P	
METTL3	M6A,MT-A70,Spo8
KIAA1462	JCAD
S100A7P2	s100a7e
MFSD12	MGC20700,PP3501
RPL21P11	
LINC00317	PRED89
RPL37P3	RL37P
USP6NL	KIAA0019,RN-tre,RNTRE,TRE2NL
STAMBP	AMSH
TRAM1	
TAPBPL	FLJ10143,TAPBP-R,TAPBPR
KBTBD6	DKFZp547E1912
ZNF192P1	ZNF389P,dJ265C24.4
RCBTB1	CLLD7,CLLL7,FLJ10716
KRT18P10	
OLAH	FLJ11106,SAST
SLC25A22	EIEE3,FLJ13044,GC1,NET44
PLA1A	ps-PLA1
ZDHHC13	FLJ10852,FLJ10941,HIP14L
ZNF646	KIAA0296
PLEKHA6	KIAA0969,PEPP3
MB21D1	
TMEM39A	FLJ10902
GPKOW	GPATC5,GPATCH5,Spp2,T54
FAM32A	DKFZP586O0120
PBXIP1	HPIP
OR5H15	
ROPN1L	FLJ25776,RSPH11
KRTAP19-1	KAP19.1
SPG27	
DDX49	FLJ10432
OR7E149P	
EIF3LP2	
C18orf56	
SLC39A12	FLJ30499
SGPP2	FLJ39004,SPP2
SETDB2	CLLD8,CLLL8,KMT1F
JBTS1	
ZNF521	EHZF,Evi3
ZC3H8	Fliz1
SPRED2	FLJ21897,FLJ31917,Spred-2
ANTXR1	ATR,FLJ10601,FLJ21776,TEM8
RUSC2	KIAA0375
MOSPD1	dJ473B4
STRA6	FLJ12541
RUNDC1	DKFZp761H0421
EIF5AL2	
HCST	DAP10,DKFZP586C1522,KAP10
GLT28D1	
SLC4A7OS	
MRPS35P1	
OR7E23P	OR21-3
LINC00315	
GNG12	
LINC00618	
LUZP2	
ZNF555	MGC26707
MRPL42P1	
ASIC4	BNAC4
SH3PXD2A	KIAA0418
ALG2	CDGIi,FLJ14511,NET38,hALPG2
LRRC15	
RBMY2DP	
EMR3	
WDR48	KIAA1449,P80
TNIP2	ABIN-2,FLIP1,KLIP,MGC4289
SERTAD1	SEI1,TRIP-Br1
RPP38	
NANOGP5	
CHD8	DUPLIN,KIAA1564
SRRM1P1	
TCEB1P2	
TNFAIP8	GG2-1,MDC-3.13,SCC-S2
RRAGD	DKFZP761H171,bA11D8.2.1
PDSS2	bA59I9.3
SDK1	FLJ31425
DACT1	DAPPER1,FRODO,HDPR1,THYEX3
MAGED4	KIAA1859,MAGE-E1,MAGE1,MGC3210
MRPS24P1	
C1RL	C1RL1,C1r-LP
PSMD14	POH1,Rpn11,pad1
SGTB	FLJ39002,Sgt2
LRRC25	FLJ38116,MAPA
ERVW-2	NTrenv
FAM208B	FLJ20360,KIAA2006,bA318E3.2
VN1R1	V1RL1,ZVNH1,ZVNR1
SSX8	
FAM53B	bA12J10.2
NGDN	DKFZP564O092,LCP5,NGD,lpd-2
TXNDC9	APACD
RAET1M	
IL31	IL-31
COQ4	CGI-92
SLC25A52	
SLITRK3	KIAA0848
SLC44A1	CD92,CDw92,CHTL1,CTL1
GPR146	PGR8
C9orf114	CENP-32,HSPC109
NOMO2	NOMO,PM5
CXXC1P1	FLJ36789
KIRREL3	KIAA1867,KIRRE,NEPH2
C10orf112	bA265G8.2
CERK	DKFZp434E0211,FLJ21430,FLJ23239,KIAA1646,LK4,dA59H18.2,dA59H18.3,hCERK
ZCCHC5	FLJ38865,Mar3,Mart3,ZHC5
SUV420H1	CGI-85,KMT5B
ZNF420	FLJ32191
H1FOO	
SCNM1	MGC3180
AFMID	DKFZp686F03259,KF
ANKS1A	KIAA0229
ST3GAL6	ST3GALVI
TRIM56	RNF109
SUMO2P1	SMT3Bp,dJ271M21
ASB17	
RASSF5	Maxp1,NORE1,RAPL
MYH15	KIAA1000
APBB3	FE65L2
RPL26P3	
HES2	bHLHb40
PQLC1	FLJ22378
NKIRAS1	KBRAS1,kappaB-Ras1
DPPA4	FLJ10713
TSPY2	TSPYQ1
SLC35E2	KIAA0447
XKRYP6	
HDLCQ1	
TERF1P1	
HLA-DPA3	
EIF5AP4	
LCN8	
PXT1	STEPP
ZNF410	APA-1,APA1
TMED3	p24B
DIRAS2	DKFZp761C07121,Di-Ras2
SNRPEP2	bA390F4.4
ZNF575	FLJ32567
MTCH1	CGI-64,PSAP,SLC25A49
NSDHL	H105e3,SDR31E1,XAP104
GINM1	dJ12G14.2
WDR31	FLJ35921
CARD14	BIMP2,CARMA2
AIS2	
ZNF501	MGC21738
SDHDP7	
KLHL13	FLJ10262
CTXN3	
ZBTB4	KAISO-L1,KIAA1538,ZNF903
LINC00524	
MOGAT3	DC7,MGAT3
ARHGAP42P3	
SLAMF6	CD352,KALI,KALIb,Ly108,NTB-A,NTBA,SF2000
LCN12	MGC48935
FBXL22	FLJ39626,Fbl22
FOXR1	DLNB13,FOXN5
GBP4	Mpa2
BRAT1	MGC22916
PHACTR4	FLJ13171
ZFYVE20	Rabenosyn-5
ANGPTL7	AngX,CDT6
ARL8B	FLJ10702,Gie1
KRT18P9	bA513I15.2
SLC35F4	FLJ37712
CARM1	PRMT4
MLLT4-AS1	HGC6.4,dJ431P23.3
HCG19P	AB014085.4
PHYHD1	MGC16638
RPSAP3	
OSGEPL1	Qri7
TATDN2	KIAA0218
SMAD2	JV18-1,MADR2
DUPD1	DUSP27
GEMIN7	FLJ13956
PDIK1L	CLIK1L
PCYOX1	KIAA0908,PCL1
MS4A15	
SAPCD2	p42.3
TAS2R18	T2R18,TAS2R65
EMX2OS	EMX2-AS1,NCRNA00045
USP54	FLJ37318,bA137L10.3,bA137L10.4
HCG4P1	HCGIV-01
RFT1	
A4GNT	alpha4GnT
RFWD3	FLJ10520,RNF201
CREB3L1	
GAPDHP15	GAPDH-Lp,b55C20.4
WWP1	AIP5,DKFZP434D2111
IGLJCOR18	IGLJ-C/OR18,IGLJ-COR18
DZIP1	DZIP,KIAA0996
NARG2	BRCC1,FLJ11896
CBLL1	FLJ23109,HAKAI,RNF188
RNASEH1P3	
ZDHHC23	MGC42530
CFHR4	FHR-4,FHR4
CTGLF6	
C21orf128	FLJ33471
ANKRD23	DARP,FLJ32449,MARP3
CCDC11	FLJ32743
SCPEP1	RISC
HTATSF1P1	TAT-SF1-L,dJ1033B10.6
SEC14L3	TAP2
GPR98	DKFZp761P0710,FEB4,KIAA0686,VLGR1b
ARL15	FLJ20051
RPP21	Em:AB014085.3,FLJ22638
OFD1P13Y	
IBD8	
AGPAT4	LPAAT-delta,dJ473J16.2
DIP2C	
DHRS4-AS1	AS1DHRS4,PRO1488
CDY21P	
NSUN3	FLJ22609
PSKH2	
OR6C73P	
TENM3	KIAA1455,Ten-M3
RPS2P2	
RAB11FIP2	KIAA0941,Rab11-FIP2,nRip11
ERCC6L2	FLJ37706,RAD26L
CLDN23	CLDNL
NXPH1	
HOOK3	HK3
ANKRD18B	bA255A11.3
SDAD1	FLJ10498
ZNRF2	RNF202
FRS3	FRS2B,FRS2beta,SNT-2
DNAJB7	HSC3
OR2B11	
YWHAQP2	
L3HYPDH	FLJ25436
UPF3A	HUPF3A,RENT3A,UPF3
ATRNL1	FLJ45344,KIAA0534
SMIM8	DKFZP586E1923,dJ102H19.2
COMTD1	FLJ23841
XAGE5	CT12.5,XAGE-5
CLASRP	SWAP2
RTF1	
C1orf43	DKFZp586G1722,NICE-3
EIF4E3	MGC39820
YAE1D1	GK003
APOPT1	APOP-1,MGC2562
MRX81	
CTGLF7	
RPS3AP5	bA486O22.3
TSNAXIP1	TXI1
LRRC3B	LRP15
GTF2H5	FLJ30544,TFB5,TFIIH,TTD-A,bA120J8.2
YLPM1	
LRRIQ1	FLJ12303,KIAA1801
SFT2D1	MGC19825,pRGR1
HIST3H2A	MGC3165
RAC1P2	Psi2Rac1
C14orf57	
ZNF593	ZT86
NME7	FLJ37194,NM23-H7
DFNA51	
HIST1H2BPS1	H2BFVP,bA317E16.4
CSAG1	CSAGE,CT24.1
STXBP4	MGC50337,Synip
IKBKE	IKK-i,IKKE,KIAA0151
NIPBL	DKFZp434L1319,FLJ11203,FLJ12597,FLJ13354,FLJ13648,IDN3,Scc2
NTNG2	KIAA1857,Lmnt2
TTTY17B	NCRNA00141
XKRX	XKR2,XPLAC
SCAMP5	MGC24969
ANKRD30BP2	CT85,CTSP-1
FAT3	CDHF15,CDHR10,KIAA1989
URI1	FLJ10575,NNX3,PPP1R19,RMP,URI
C9orf153	bA507D14.1
TDRD3	FLJ21007
ZSCAN25	FLJ32468
C6orf136	Em:AB023049.8
ABLIM3	KIAA0843
AMN	amnionless
FKBP9L	MGC20531
GSTA5	
TAS2R2P	T2R02,T2R2
LHX4	Gsh4
C10orf128	Em:AC084727.5
DNAJC5B	CSP-beta,MGC26226
C7orf33	
FAM46B	MGC16491
FAM35AP	
DNM1DN8@	
TMEM17	FLJ34583
LCE1F	LEP6
DHTKD1	DKFZP762M115,KIAA1630,MGC3090
LRRTM3	
PITPNM2	NIR3,RDGB2,RDGBA2
TMEM33	FLJ10525
QTRT1	TGT
ZNF610	FLJ36040
RPL24P3	
DTD2	MGC9912
NUDT15	FLJ10956,MTH2
OR1AC1P	
KIAA1586	
POU2F3	Epoc-1,OCT11,PLA-1,Skn-1a
CNTNAP3	CASPR3,CNTNAP3A,FLJ14195,KIAA1714
HCG4P5	HCGIV-05,HCGIV-5,HCGIV.4
TMCC2	FLJ38497,HUCEP11
MAFA	RIPE3b1,hMafA
COL11A2P1	cD0826Q1.1
AK7	FLJ32864
PLEK2	
GMIP	ARHGAP46
TRAPPC6A	HSPC289,MGC2650,TRS33
WDR62	DKFZP434J046,FLJ33298
NCDN	NCDN-1,NCDN-2
OR4F29	
ADCK5	FLJ35454
RPL29P1	dJ336K20B.2
ARHGAP20	KIAA1391
TRIB1	C8FW,GIG2,TRB1
PRRG3	TMG3
TGFBRAP1	TRAP-1,TRAP1
BMS1P2	OTTHUMG00000018113,bA144G6.1
GPATCH2L	FLJ10033,FLJ20689
AIS3	
POLR3E	FLJ10509,RPC5
MRPS7P2	
PLGRKT	AD025,FLJ14688,MDS030,Plg-RKT
RTN4RL2	NGRH1,NgR2
C14orf91	
ATRAID	APR3,HSPC013,p18
HECW1	KIAA0322,NEDL1
SYT16	CHR14SYT,Strep14,yt14r
TRPT1	MGC11134
SCRN2	
GUSBP4	FLJ13549,SMA3-L
PRY2	PTPN13LY2
HIST1H2APS2	H2A/T,dJ139G21.2
TOMM20	KIAA0016,MAS20,MOM19,TOM20
ACPL2	FLJ23751
ARL5C	
GBP6	DKFZp686G0786
HMGA1P7	
CHCHD1	FLJ25854
RPL14P1	bcm1298
MKX	MGC39616
GLTSCR1L	
RAF1P2	
SLC2A3P4	
DPPA5	Esg1
TMEM14B	MGC1223
YTHDF2	HGRG8,NY-REN-2
SCA26	
MOCOS	FLJ20733,HMCS,MOS
RBM24	FLJ30829,dJ259A10.1
THAP7	MGC10963
SEC23IP	p125
CCPG1	CPR8,KIAA1254
GBGT1	A3GALNT,FS,MGC44848,UDP-GalNAc
VN1R9P	VN1R22-1P
RIBC2	DKFZp566F0546,FLJ25720
NIPA1	MGC35570
HCG2P6	
